"GENE_SYMBOL","logFC","adj.P.Val"
"DEFA3",-1.25644205431873,7.08078484965351e-06
"SPAG17",1.26001301599954,8.29680275553029e-06
"FAM55D",1.2572104082446,3.16386314387454e-13
"SLC28A3",1.18534275465467,5.99017590529088e-13
"PMCH",1.30679805841826,3.16182057841064e-15
"DHRS2",-1.22690697489039,4.48407305781457e-23
"PLA2G2A",2.55077983260263,8.48646524707956e-21
"KLF4",-1.69022103854694,5.731757710727e-31
"FAM83D",1.12388567442919,1.58528634757255e-11
"RPS4Y2",1.74115378352217,0.0126408972979749
"HS6ST3",1.73087252177874,3.14497387381452e-17
"CPNE4",1.74230817627967,5.46566707342629e-19
"ST6GALNAC5",-1.13093350794283,1.10791849824045e-25
"COL5A2",1.0765147070546,3.83203836583056e-23
"C8orf47",1.21362435802539,3.74536394038159e-08
"WDR96",1.30961320958834,2.10856610983431e-06
"FAM167A",-1.93852822410749,6.89267167361893e-37
"WT1-AS",1.19676911119968,2.3779743581816e-06
"ROBO4",-1.00718978534419,3.29132997304114e-23
"SYCP2L",-1.24318602175027,1.04697297943643e-16
"SPRR1A",2.76089855377782,4.06827631176562e-23
"ATF3",-1.90258042475658,8.08945592317031e-24
"CHP2",1.16918921027159,0.00109614112823257
"CCDC85A",-1.38051009508626,5.23089160865297e-26
"ANKFN1",1.09243965723396,1.5059779762549e-08
"SH2D1B",-1.38357169617946,9.37574731154955e-15
"HS3ST5",-1.0679222513238,6.2027202261403e-11
"ADAM23",1.13788413141263,2.82480228060904e-17
"LRRN4",-1.01441054489551,8.07092340083328e-18
"GJB5",1.46698570289813,2.66276455704636e-09
"IVL",1.02770509594033,1.1364219462819e-08
"FAM71A",-2.16776339463644,5.1248076107004e-18
"CD160",-1.1826553948642,3.06149983553095e-12
"RS1",-1.40676087228833,2.97307834641793e-19
"NMNAT2",1.07022278653988,2.02994994713758e-16
"SYNPO2L",-1.39501818026533,7.89189104864344e-15
"ANLN",1.51995637419575,6.11399907463654e-28
"STOML3",1.07765708022547,0.00014173948629027
"E2F8",1.4962578318055,6.22507721604253e-26
"CYP3A7",-1.27877729317314,2.28394139670552e-20
"NCKAP5",-1.62821206513693,1.67986928281456e-24
"FAM81B",1.15072202926607,9.56457568378788e-07
"CPNE5",1.13240554005579,1.29680450193546e-17
"DEPDC1B",1.005354728691,3.27481912957224e-16
"SYT8",1.32116391277116,2.38679169237424e-10
"C4orf7",2.18738326595684,7.4500544123181e-11
"RSPH10B",1.0007190058646,0.000271101256636126
"HSPA4L",1.02517786255195,2.69263501888409e-14
"ABCA13",1.14683005750726,1.76309889017468e-05
"LRRC19",-1.50916781301599,1.97206256357595e-22
"ARC",-2.34689214257245,3.2841072218291e-28
"KRT6C",2.22193968000911,1.88725309952421e-12
"HHLA2",1.47606712406764,4.32296905618587e-14
"DCLK1",1.37998180834709,3.10940117179201e-30
"AFF3",-1.29266720378067,2.90447808753563e-21
"TEK",-1.0178439332688,4.13740241137248e-25
"GAL",1.07251525935204,1.62878001360634e-10
"FGA",-1.02246702727324,4.08822721119474e-05
"EXD1",-1.47826586574047,3.14601699601528e-22
"TNFRSF17",1.90608852701702,1.04075619930702e-20
"MRAP",1.0616110288675,1.82610130552219e-09
"MYH2",-1.73951831122245,6.96570957630287e-13
"SNX31",1.13570776063315,1.13733407865232e-08
"P2RY1",-1.03908664237317,2.03595307488746e-15
"CD300LG",-1.09945028184251,5.85313142658519e-10
"GDA",1.30218314638729,1.09235086729331e-08
"HYDIN",1.1232333314354,0.000204121443463914
"CCDC11",1.09055723395775,8.25688480129997e-06
"CLIC6",1.1249340488527,2.2699020915525e-17
"EPHA10",1.70441318111939,3.07300436740919e-24
"KRT16",1.03210770369527,9.65056118113676e-07
"WNT3A",-1.66412039514889,5.48994603984164e-26
"DIRAS1",1.18707064852246,7.92891809312361e-24
"CDH2",1.57081840232306,1.94848965748366e-22
"EBF3",1.61394576666856,1.1040115119619e-12
"ZFP36",-1.63051619313328,1.72124062570157e-21
"CLCA2",1.45098289586061,5.73764352299131e-08
"JSRP1",1.78390193019415,5.4349945337508e-21
"SOX2",1.50807457154244,2.52907351705617e-07
"CHRM3",-1.15300872857712,2.97307834641793e-19
"DOK5",1.07502776860445,1.37426127345116e-21
"CD1A",1.37027975288959,7.30261834610748e-15
"PPFIA2",1.01756786426009,2.46852526388486e-16
"WDR16",1.1360737345556,0.000254751313109158
"FNDC1",1.6536038660821,2.01218900875455e-26
"CA4",-2.47528780390593,2.73178175758237e-23
"SMR3A",1.43533384387633,1.65683544011446e-11
"SHISA3",-1.17141128508796,6.70703702379192e-15
"ADAMTS16",2.03378575414223,8.99208927153524e-18
"STC2",-1.24611025451232,1.32892767291425e-17
"SLC27A6",-1.01419751181461,3.9261687249656e-10
"DLL4",-1.11394741217332,1.52323296431067e-23
"LYPD1",1.29613429937937,3.4271479395723e-22
"C6orf165",1.01499143654273,4.57725236157943e-05
"SYT12",1.46019732961339,5.23219765432625e-15
"SGCG",-1.48886394693389,1.25413197820587e-17
"PCDH12",-1.25095003131583,4.18991406427516e-22
"RHOV",1.54735503615555,5.81653788349607e-09
"CCK",-2.2794872003644,9.35321876497495e-30
"CCDC37",1.10858404600581,0.000280934525642968
"PAX9",1.17231990548312,2.13931880921015e-07
"CLDN8",1.06485667596652,2.79954845477848e-05
"STEAP2",1.10406689062233,2.17003021015958e-21
"FOSB",-3.31842094744632,2.45280284841775e-23
"CRTAC1",-1.54986667425838,5.90823121695814e-26
"GREM1",2.13191715538347,1.09398285728448e-15
"RXFP1",-1.46207293742527,1.60312392197772e-19
"PLLP",-1.38521620452086,2.73031892116571e-28
"CASKIN2",-1.09668418265672,2.51605619743237e-26
"FIGF",-1.74703895120423,2.25145441548442e-28
"FCRLA",1.74610428742242,1.05210504019041e-13
"CYR61",-1.14344772533166,1.35636796208636e-17
"ERRFI1",-1.13310043272789,4.34782835642403e-24
"PTPRR",-1.06852544553891,6.18404922661476e-12
"CD27",1.39231101178614,1.38119375741396e-22
"CCNA1",1.24739311051642,1.76117731686773e-07
"DIO2",2.14469402152251,3.04782074660606e-32
"SH3GL3",-1.1756551101748,2.06872703673683e-19
"CDH3",2.26189071912543,1.91640453982925e-39
"MYH1",-1.02398415418778,2.11473945341744e-06
"KLK12",1.6900978021978,1.38429116789076e-08
"TYMS",1.00627078517337,4.36538962629163e-25
"COL17A1",3.43808578261116,9.65322632413288e-32
"KCNJ16",1.19841449069065,1.29440708784131e-07
"CSF3",-3.53328759892955,6.32859015792473e-22
"SERPINB4",1.75754326140181,3.12016883103132e-05
"NOS2",-1.37671619882708,5.22528593620434e-15
"KL",-1.06323212435233,2.83750874052139e-25
"IL1RL1",-2.45059713602459,8.85385007136607e-20
"AMPD1",1.53007851733758,2.22068848609694e-14
"VTCN1",1.71809624209986,9.06952205338997e-09
"ASPM",1.08412677788532,4.94617486096041e-19
"MUC16",1.60772063998178,1.93182143580135e-07
"MMP7",2.58130784034617,7.78089945814177e-25
"VWCE",1.20821552696008,1.06084484475964e-21
"ZNF215",1.08848862381142,6.91411396031888e-17
"HBG1",-1.00383822239936,0.000206236924871007
"ARNTL2",1.1649294653533,1.04888937761972e-24
"RND1",-1.62145513294995,1.24092987843421e-13
"PTPRB",-1.08807474235609,4.03540690512442e-25
"ESR2",1.25208478619825,2.66443139675024e-14
